component,loc,year,unit,factor_kgCO2eq_unit,carbon_content
ketamine,row,2022,kg,150.0,0.0
morphine,row,2022,kg,1010.0,0.0
oxycodone,row,2022,kg,1010.0,0.0
heparin highint,row,2022,kg,7325.25601769782,0.0
adrenaline highint,row,2022,kg,7325.25601769782,0.0
amiodarone highint,row,2022,kg,7325.25601769782,0.0
calcium chloride highint,row,2022,kg,7325.25601769782,0.0
mitomycin c highint,row,2022,kg,7325.25601769782,0.0
ephedrine,row,2022,kg,80.0,0.0
suxamethonium,row,2022,kg,13.0,0.0
glycopyrrolate,row,2022,kg,75.0,0.0
sevoflurane,row,2022,kg,130.0,0.24
sevoflurane,rer,2022,kg,130.0,0.24
rocuronium,row,2022,kg,130.0,0.0
diamorphine,row,2022,kg,1010.0,0.0
bupivacaine,row,2022,kg,32.0,0.0
dalteparin,row,2022,kg,7325.25601769782,0.0
neostigmine,row,2022,kg,23.0,0.0
