product,category,electricity,water,gas,component_1,manu_year_1,mass_kg_1,no_uses_1,biogenic_1,manu_loc_1,debark_port_1,depart_loc_uk_1,reprocessing_1,recycle_1,incinerate_1,landfill_1,component_2,manu_year_2,mass_kg_2,no_uses_2,biogenic_2,manu_loc_2,debark_port_2,depart_loc_uk_2,reprocessing_2,recycle_2,incinerate_2,landfill_2,component_3,manu_year_3,mass_kg_3,no_uses_3,biogenic_3,manu_loc_3,debark_port_3,depart_loc_uk_3,reprocessing_3,recycle_3,incinerate_3,landfill_3,component_4,manu_year_4,mass_kg_4,no_uses_4,biogenic_4,manu_loc_4,debark_port_4,depart_loc_uk_4,reprocessing_4,recycle_4,incinerate_4,landfill_4,component_5,manu_year_5,mass_kg_5,no_uses_5,biogenic_5,manu_loc_5,debark_port_5,depart_loc_uk_5,reprocessing_5,recycle_5,incinerate_5,landfill_5,component_6,manu_year_6,mass_kg_6,no_uses_6,biogenic_6,manu_loc_6,debark_port_6,depart_loc_uk_6,reprocessing_6,recycle_6,incinerate_6,landfill_6
oxygen,anaesthesia drugs,0,0,0,oxygen,2022,0.171492,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
non-rebreather mask,anaesthesia drugs,0,0,0,pvc,2022,0.069,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.069,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
venturi mark,anaesthesia drugs,0,0,0,pvc,2022,0.06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.06,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
hudson mask,anaesthesia drugs,0,0,0,pvc,2022,0.074,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.074,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
nasal cannulae,anaesthesia drugs,0,0,0,pvc,2022,0.034,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.034,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
suction,anaesthesia drugs,0,0,0,pvc,2022,0.05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.05,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.008,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
suction tubing,anaesthesia drugs,0,0,0,pvc,2022,0.109,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.109,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.0054,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0054,1,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.0033,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
big plate,nutrition,0,0,0,ceramic,2022,0.6,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
little plate,nutrition,0,0,0,ceramic,2022,0.4,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
bowl,nutrition,0,0,0,ceramic,2022,0.4,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
mug,nutrition,0,0,0,ceramic,2022,0.3,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
knife,nutrition,0,0,0,steel,2022,0.041,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.041,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
fork,nutrition,0,0,0,steel,2022,0.027,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.027,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
spoon,nutrition,0,0,0,steel,2022,0.032,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.032,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
tray,nutrition,0,0,0,polycarbonate,2022,0.5,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.5,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
toast,nutrition,0,0,0,bread,2022,0.05,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
disposable jam,nutrition,0,0,0,jam,2022,0.01,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
disposable butter,nutrition,0,0,0,butter,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,milk,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,paper,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
patient drink (jug water),nutrition,0,0,0,hdpe,2022,0.25,1000,0,0,0,0,0,0,1,0,injection moulding,2022,0.25,1000,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
tea,nutrition,0,0,0,paper,2022,0.003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,tea,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
milk,nutrition,0,0,0,milk,2022,0.02,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
hot water,nutrition,0,0,0,water,2022,0.3,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
pulp urinal bottle post-op,monitoring tests,0,0,0,pulp,2022,0.041,1,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.0123,1,1,shanghai (china),shanghai (china),felixstowe,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
catheter leg bags,surgical equipment,0,0,0,pvc,2022,0.15,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.158,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
catheter night bags,surgical equipment,0,0,0,pvc,2022,0.2,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.208,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
leg bag velcro straps,surgical equipment,0,0,0,polyester,2022,0.014,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,weaving polyester,2022,0.014,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,blow moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
plastic carrier bag,surgical equipment,0,0,0,ldpe,2022,0.007,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.007,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
towel,patient essentials,0,0,0,cotton,2022,0.271,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
hand towel,patient essentials,0,0,0,cotton,2022,0.168,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
patient meal,nutrition,0,0,0,food,2022,0.5,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
patient drink,nutrition,0,0,0,water piped,2022,0.5,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
oxygen tubing,anaesthesia drugs,0,0,0,pvc,2022,0.1,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.1,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
plastic bag for patient belongings,patient essentials,0,0,0,ldpe,2022,0.007,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.007,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
slidey sheet,patient essentials,0,0,0,polyester,2022,0.2682,40,0,shanghai (china),shanghai (china),felixstowe,laundry,0,1,0,weaving polyester,2022,0.2682,40,0,shanghai (china),0,0,0,0,0,0,silicone,2022,0.0298,40,0,shanghai (china),shanghai (china),felixstowe,laundry,0,1,0,injection moulding,2022,0.0298,40,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
pulp kidney dish patient belongings,patient essentials,0,0,0,pulp,2022,0.24,1,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.072,1,1,shanghai (china),shanghai (china),felixstowe,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
dentures plastic pot,patient essentials,0,0,0,ldpe,2022,0.012,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.012,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
clear warming plastic sheet,patient essentials,0,0,0,ldpe,2022,0.033,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.033,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
bare hugger sheet,patient essentials,0,0,0,ldpe,2022,0.132,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.132,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
bare hugger hose,patient essentials,0,0,0,pvc,2022,0.3,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.3,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.3,1000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.3,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
bare huggger warming unit,patient essentials,0,0,0,hdpe,2022,3.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.5,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,3.0,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
facemask,anaesthesia drugs,0,0,0,pvc,2022,0.044,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.044,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
gas hosing,anaesthesia drugs,0,0,0,ldpe,2022,0.39,10,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.39,10,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.02,10,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.02,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
capnography hosing,anaesthesia drugs,0,0,0,pvc,2022,0.1,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.1,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.01,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
filter and catheter mount,anaesthesia drugs,0,0,0,ldpe,2022,0.05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.05,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
laryngeal mask airway second gen (proseal),anaesthesia drugs,0,0,0,silicone,2022,0.054,40,0,shanghai (china),shanghai (china),felixstowe,hsdu (0.025),0,1,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,hsdu (0.025),0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.007,1,1,shanghai (china),shanghai (china),felixstowe,hsdu (0.025),0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
laryngeal mask airway,anaesthesia drugs,0,0,0,silicone,2022,0.054,40,0,shanghai (china),shanghai (china),felixstowe,hsdu (0.025),0,1,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,hsdu (0.025),0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.007,1,1,shanghai (china),shanghai (china),felixstowe,hsdu (0.025),0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
paper bag for lma (proseal) to hsdu,anaesthesia drugs,0,0,0,paper,2022,0.006,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
lma kidney dish (pulp),anaesthesia drugs,0,0,0,pulp,2022,0.24,1,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.072,1,1,shanghai (china),shanghai (china),felixstowe,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
syringe for lma (50ml),anaesthesia drugs,0,0,0,polypropylene,2022,0.0318,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0318,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0024,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00099,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0024,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
