product,category,electricity,water,gas,component_1,manu_year_1,mass_kg_1,no_uses_1,biogenic_1,manu_loc_1,debark_port_1,depart_loc_uk_1,reprocessing_1,recycle_1,incinerate_1,landfill_1,component_2,manu_year_2,mass_kg_2,no_uses_2,biogenic_2,manu_loc_2,debark_port_2,depart_loc_uk_2,reprocessing_2,recycle_2,incinerate_2,landfill_2,component_3,manu_year_3,mass_kg_3,no_uses_3,biogenic_3,manu_loc_3,debark_port_3,depart_loc_uk_3,reprocessing_3,recycle_3,incinerate_3,landfill_3,component_4,manu_year_4,mass_kg_4,no_uses_4,biogenic_4,manu_loc_4,debark_port_4,depart_loc_uk_4,reprocessing_4,recycle_4,incinerate_4,landfill_4,component_5,manu_year_5,mass_kg_5,no_uses_5,biogenic_5,manu_loc_5,debark_port_5,depart_loc_uk_5,reprocessing_5,recycle_5,incinerate_5,landfill_5,component_6,manu_year_6,mass_kg_6,no_uses_6,biogenic_6,manu_loc_6,debark_port_6,depart_loc_uk_6,reprocessing_6,recycle_6,incinerate_6,landfill_6,manufacture_emissions,transport_emissions,use_emissions,reprocessing_emissions,disposal_emissions,total_emissions
oxygen,anaesthesia drugs,0,0,0,oxygen,2022,0.171492,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.08618844936,0.0,0.0,0.0,0.0,0.08618844936
non-rebreather mask,anaesthesia drugs,0,0,0,pvc,2022,0.069,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.069,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.3276178,0.028126681005621004,0.0,0.0,0.09934531408825978,0.4550897950938808
venturi mark,anaesthesia drugs,0,0,0,pvc,2022,0.06,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.06,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.2874652,0.024659008004928,0.0,0.0,0.08638722964196502,0.398511437646893
hudson mask,anaesthesia drugs,0,0,0,pvc,2022,0.074,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.074,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.3499248,0.030053166006006,0.0,0.0,0.10654424989175687,0.48652221589776284
nasal cannulae,anaesthesia drugs,0,0,0,pvc,2022,0.034,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.034,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.17146880000000003,0.014641286002926001,0.0,0.0,0.04895276346378018,0.2350628494667062
suction,anaesthesia drugs,0,0,0,pvc,2022,0.05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.05,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.008,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.26263240000000004,0.022347226004466002,0.0,0.0,0.07198935803497086,0.3569689840394369
suction tubing,anaesthesia drugs,0,0,0,pvc,2022,0.109,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.109,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.0054,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0054,1,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.0033,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.5196394599999999,0.04534945690906291,0.0,0.0,0.15693680051623646,0.7219257174252993
big plate,nutrition,0,0,0,ceramic,2022,0.6,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00160954,0.0007705940001540001,0.0,0.0,4.256e-05,0.002422694000154
little plate,nutrition,0,0,0,ceramic,2022,0.4,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.001073026666666667,0.000513729333436,0.0,0.0,2.837333333333334e-05,0.0016151293334360003
bowl,nutrition,0,0,0,ceramic,2022,0.4,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.001073026666666667,0.000513729333436,0.0,0.0,2.837333333333334e-05,0.0016151293334360003
mug,nutrition,0,0,0,ceramic,2022,0.3,300,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00080477,0.00038529700007700003,0.0,0.0,2.128e-05,0.001211347000077
knife,nutrition,0,0,0,steel,2022,0.041,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.041,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.7135130000000003e-05,1.5797177003157e-06,0.0,0.0,8.724800000000001e-08,1.88020957003157e-05
fork,nutrition,0,0,0,steel,2022,0.027,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.027,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.128411e-05,1.0403019002079001e-06,0.0,0.0,5.7456e-08,1.2381867900207901e-05
spoon,nutrition,0,0,0,steel,2022,0.032,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.032,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.337376e-05,1.2329504002464001e-06,0.0,0.0,6.8096e-08,1.4674806400246399e-05
tray,nutrition,0,0,0,polycarbonate,2022,0.5,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.5,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.004192700000000001,0.00019264850003850002,0.0,0.0,0.0013956174771024145,0.005780965977140916
toast,nutrition,0,0,0,bread,2022,0.05,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0368125,0.0,0.0,0.0,0.0,0.0368125
disposable jam,nutrition,0,0,0,jam,2022,0.01,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.015,0.0,0.0,0.0,0.0,0.015
disposable butter,nutrition,0,0,0,butter,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,milk,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,paper,2022,0.002,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.1042586,0.008476534001694,0.0,0.0,0.0,0.112735134001694
patient drink (jug water),nutrition,0,0,0,hdpe,2022,0.25,1000,0,0,0,0,0,0,1,0,injection moulding,2022,0.25,1000,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0008260375,0.0,0.0,0.0,0.0,0.0008260375
tea,nutrition,0,0,0,paper,2022,0.003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,tea,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.020269000000000002,0.001926485000385,0.0,0.0,6.38399999999999e-05,0.022259325000385
milk,nutrition,0,0,0,milk,2022,0.02,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.029731999999999998,0.0,0.0,0.0,0.0,0.029731999999999998
hot water,nutrition,0,0,0,water,2022,0.3,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00019649999999999998,0.0,0.0,0.0,0.0,0.00019649999999999998
pulp urinal bottle post-op,monitoring tests,0,0,0,pulp,2022,0.041,1,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.0123,1,1,shanghai (china),shanghai (china),felixstowe,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.10313017000000001,0.0205363301041041,0.0,0.0,0.0,0.1236665001041041
catheter leg bags,surgical equipment,0,0,0,pvc,2022,0.15,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.158,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.7208323999999999,0.060876926012166,0.0,0.0,0.24126586208159867,1.0229751880937645
catheter night bags,surgical equipment,0,0,0,pvc,2022,0.2,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.208,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.9479223999999999,0.080141776016016,0.0,0.0,0.31325522011656953,1.3413193961325853
leg bag velcro straps,surgical equipment,0,0,0,polyester,2022,0.014,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,weaving polyester,2022,0.014,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.002,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,blow moulding,2022,0.002,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.09679098,0.006164752001232001,0.0,0.0,0.03236182507910075,0.13531755708033275
plastic carrier bag,surgical equipment,0,0,0,ldpe,2022,0.007,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.007,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0346171,0.0026970790005390005,0.0,0.0,0.02213556447960033,0.05944974348013933
towel,patient essentials,0,0,0,cotton,2022,0.271,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.03146852,0.0010441548702086701,0.0,0.137668,-0.0045104299510408,0.16567024491916787
hand towel,patient essentials,0,0,0,cotton,2022,0.168,100,1,shanghai (china),shanghai (china),felixstowe,laundry,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.01950816,0.00064729896012936,0.0,0.085344,-0.0027961336965861786,0.10270332526354317
patient meal,nutrition,0,0,0,food,2022,0.5,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.368125,0.0,0.0,0.0,0.0,0.368125
patient drink,nutrition,0,0,0,water piped,2022,0.5,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.45e-05,0.0,0.0,0.0,0.0,7.45e-05
oxygen tubing,anaesthesia drugs,0,0,0,pvc,2022,0.1,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.1,1,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.46592120000000004,0.040070888008008,0.0,0.0,0.14397871606994173,0.6499708040779497
plastic bag for patient belongings,patient essentials,0,0,0,ldpe,2022,0.007,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.007,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0346171,0.0026970790005390005,0.0,0.0,0.02213556447960033,0.05944974348013933
slidey sheet,patient essentials,0,0,0,polyester,2022,0.2682,40,0,shanghai (china),shanghai (china),felixstowe,laundry,0,1,0,weaving polyester,2022,0.2682,40,0,shanghai (china),0,0,0,0,0,0,silicone,2022,0.0298,40,0,shanghai (china),shanghai (china),felixstowe,laundry,0,1,0,injection moulding,2022,0.0298,40,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.04551765985,0.00287046265057365,0.0,0.151384,0.015499002653955037,0.21527112515452868
pulp kidney dish patient belongings,patient essentials,0,0,0,pulp,2022,0.24,1,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.072,1,1,shanghai (china),shanghai (china),felixstowe,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.6036888,0.120212664024024,0.0,0.0,0.0,0.723901464024024
dentures plastic pot,patient essentials,0,0,0,ldpe,2022,0.012,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.012,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.058378799999999995,0.004623564000924001,0.0,0.0,0.03794668196502915,0.10094904596595314
clear warming plastic sheet,patient essentials,0,0,0,ldpe,2022,0.033,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.033,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.1631949,0.012714801002541002,0.0,0.0,0.10435337540383015,0.28026307640637116
bare hugger sheet,patient essentials,0,0,0,ldpe,2022,0.132,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.132,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.6527796,0.05085920401016401,0.0,0.0,0.4174135016153206,1.1210523056254846
bare hugger hose,patient essentials,0,0,0,pvc,2022,0.3,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.3,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.3,1000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.3,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0038498999999999994,0.00023117820004620002,0.0,0.0,0.00043832014820982513,0.004519398348256025
bare huggger warming unit,patient essentials,0,0,0,hdpe,2022,3.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.5,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,3.0,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.07406941,0.0002697079000539,0.0,0.0,0.001144908632805995,0.07548402653285989
